GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
config-server,org.bremersee.configserver,WebSecurityProperties,2,105,3,9,1,15,3,8,0,5
config-server,org.bremersee.configserver,Application,5,3,0,0,2,1,1,1,1,1
config-server,org.bremersee.configserver,WebSecurityProperties.SimpleUser,0,21,1,1,0,7,1,1,0,1
config-server,org.bremersee.configserver,WebSecurityConfiguration,0,145,0,0,0,31,0,8,0,8
